,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,16,11,1,2,-237,1180.0,43.57772648259687,0.6076931700762865,-237,912.0,39.63955442315585,0.6668301698613588,2,2,1.53725113883662,0.8778961000969208,15,38,38.327314529273885,4.268648464847577,False,26,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
1,16,15,1,2,-237,1180.0,43.57772648259687,0.6076931700762865,-237,1618.0,57.06360014914534,0.769802164666151,2,2,0.254523665014482,0.5580770304343562,27,6,67.79953385661763,20.223160345325386,False,26,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
0,9,8,1,2,-227,1266.0,44.78755307856201,0.592619236463191,-227,1612.0,60.286044225005575,0.8188852499964141,1,1,1.4813521158302656,0.3888652066010329,14,4,77.96692212275671,33.19508933042588,False,16,227,8,YAV2104xYAV2105_005_12_rigid_003006.tif,,
0,20,21,1,2,-228,1131.0,42.207506971301875,0.5808498555351599,-212,967.0,37.03995992198384,0.42622488047096435,2,2,1.4002878338240636,1.3021001278788304,16,47,45.60746679110682,12.029256597577117,False,29,240,20,YAV2104xYAV2105_005_16_rigid_004009.tif,,
1,20,22,1,2,-228,1131.0,42.207506971301875,0.5808498555351599,-212,1050.0,38.32857097546718,0.3984039564424504,1,4,0.5168316373898807,1.0948735971954529,24,49,47.33323079549377,6.630614075593528,False,29,240,20,YAV2104xYAV2105_005_16_rigid_004009.tif,,
0,10,17,1,2,-235,1292.0,45.25890346220472,0.584523100975296,-235,1667.0,64.01850448621047,0.849214793474563,1,2,1.0647834610904239,0.8030285127119536,49,21,51.56337799150902,9.014501303471015,False,24,235,17,YAV2104xYAV2105_005_19_rigid_004008.tif,,
1,19,17,1,2,-235,1507.0,56.03500988044963,0.7873825870602374,-235,1667.0,64.01850448621047,0.849214793474563,2,1,1.1436147563686425,0.9081074374866036,12,49,34.11975496351277,1.3053189907702145,False,24,235,17,YAV2104xYAV2105_005_19_rigid_004008.tif,,
2,24,17,1,2,-235,1569.0,55.660863179041954,0.762243742641035,-235,1667.0,64.01850448621047,0.849214793474563,2,1,0.47050309222241793,0.020837973075217064,5,59,58.61570576194459,6.922478423137967,False,24,235,17,YAV2104xYAV2105_005_19_rigid_004008.tif,,
0,31,7,1,2,-216,1137.0,40.012874535884926,0.40677011576790034,-230,1093.0,43.53129222014205,0.6739119902248358,2,1,0.8041057114488599,0.4161610745224906,8,34,76.66915884357161,36.161517442281415,False,19,230,31,YAV2104xYAV2105_005_20_rigid_003001.tif,,
1,31,10,1,2,-216,1137.0,40.012874535884926,0.40677011576790034,-230,1636.0,49.29668353677439,0.5084884689367791,3,1,0.19033078366157288,0.9409790373350599,2,20,49.27784978252998,5.399282807397577,False,19,230,31,YAV2104xYAV2105_005_20_rigid_003001.tif,,
2,31,14,1,2,-216,1137.0,40.012874535884926,0.40677011576790034,-230,1257.0,51.90841560157362,0.8014176031489938,4,2,0.6198652778598737,1.138471341000626,53,12,34.591754141575606,2.121331013733407,True,19,230,31,YAV2104xYAV2105_005_20_rigid_003001.tif,,
3,31,23,1,2,-216,1137.0,40.012874535884926,0.40677011576790034,-230,1483.0,52.630852646764566,0.723710328150735,3,3,1.2996745847230837,0.9179641501953295,42,20,99.21847992097979,59.262611728168814,False,19,230,31,YAV2104xYAV2105_005_20_rigid_003001.tif,,
4,31,14,1,2,-216,1137.0,40.012874535884926,0.40677011576790034,-230,1257.0,51.90841560157362,0.8014176031489938,4,1,0.6198652778598737,1.138471341000626,53,12,34.591754141575606,2.121331013733407,True,19,230,14,YAV2104xYAV2105_005_20_rigid_003001.tif,,
5,32,14,1,2,-216,1316.0,46.36603029196217,0.619768596192914,-230,1257.0,51.90841560157362,0.8014176031489938,3,2,1.409793079557085,0.4491484896883544,43,25,57.31693311532276,15.93208709700228,False,19,230,14,YAV2104xYAV2105_005_20_rigid_003001.tif,,
0,20,4,1,2,-220,1125.0,46.608768300911834,0.7361940101564235,-234,1383.0,51.22271302191063,0.7336934643162475,2,1,0.2821792978058964,0.1842956041271897,3,28,56.658410553973894,10.735126725870694,False,23,234,20,YAV2104xYAV2105_005_20_rigid_003008.tif,,
1,20,6,1,2,-220,1125.0,46.608768300911834,0.7361940101564235,-234,1724.0,59.288495153081655,0.7757211087613402,0,3,0.5629867057660731,0.8667171924728843,23,50,44.823029949841654,0.7073063981660843,False,23,234,20,YAV2104xYAV2105_005_20_rigid_003008.tif,,
2,20,8,1,2,-220,1125.0,46.608768300911834,0.7361940101564235,-234,1562.0,57.12385298901071,0.7858545238452301,1,2,1.3481838560774264,0.8913887389239719,46,20,34.936445013858865,2.2312406623663845,False,23,234,20,YAV2104xYAV2105_005_20_rigid_003008.tif,,
0,13,16,1,2,-203,1155.0,49.88630467800212,0.7979717153458729,-203,1200.0,47.25732864526288,0.7268361620905315,4,1,0.25296056571833603,1.1826186825759115,33,18,39.845817511794706,3.699371409113174,False,3,203,16,YAV2104xYAV2105_005_20_rigid_003009.tif,,
0,12,14,1,2,-217,1512.0,54.80368730835142,0.7564234713056144,-217,1158.0,43.90493698077232,0.6346126476677828,2,1,0.03363819688792091,0.9315254583048009,59,39,61.573680602029455,15.674245462731582,False,6,217,14,YAV2104xYAV2105_005_20_rigid_003014.tif,,
0,22,20,1,2,-212,1219.0,42.29108922783461,0.4901810559605118,-223,1252.0,46.290874518040475,0.6637383715650265,2,2,1.4932220285413607,0.7738439201845866,45,22,74.86338217643787,36.17663416781094,False,18,229,20,20221225_vd_02_27_R3D_rigid_003001.tif,,
