,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,57,59,1,2,-101,560.0,30.34233162722021,0.6227673038473012,-100,390.0,25.003719409821812,0.6053365891810101,2,5,0.2689983293174736,0.36755797924902556,3,56,28.234345632989896,2.3151081677279364,True,97,118,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,23,59,1,2,-118,717.0,38.32775974416875,0.779454046644082,-100,390.0,25.003719409821812,0.6053365891810101,3,4,0.09149943903128445,1.2723662724675036,1,47,30.855338353986028,2.2481919146407323,False,97,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,51,59,1,2,-107,539.0,28.729793758423053,0.5426987631073148,-100,390.0,25.003719409821812,0.6053365891810101,2,6,0.044536847992758144,0.38338280400030855,30,4,38.01146292271067,11.472467186475738,False,97,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,52,59,1,2,-107,507.0,27.532868083049866,0.5119955961843092,-100,390.0,25.003719409821812,0.6053365891810101,1,6,0.28145365304737524,0.0,32,0,42.271084927498094,15.40565096027739,False,97,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,53,59,1,2,-106,521.0,29.160756550980718,0.6191798929329779,-100,390.0,25.003719409821812,0.6053365891810101,2,1,0.2588808725731866,0.6700576933329042,27,7,82.263304541056,56.80449247535783,False,97,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,57,59,1,2,-101,560.0,30.34233162722021,0.6227673038473012,-100,390.0,25.003719409821812,0.6053365891810101,1,5,0.2689983293174736,0.36755797924902556,3,56,28.234345632989896,2.3151081677279364,True,97,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,22,1,2,-97,581.0,30.23657169914484,0.5787376893754834,-105,707.0,40.11938900706844,0.8251143395626733,2,5,0.855033217308466,0.9792700276284112,38,49,66.61394867575454,40.17626433623892,False,84,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,29,1,2,-97,581.0,30.23657169914484,0.5787376893754834,-105,908.0,46.61730846142174,0.8451899567153937,1,6,0.04057378573260806,0.0011473667192083425,59,30,38.95617896120027,0.7440479555902287,False,84,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,58,1,2,-97,581.0,30.23657169914484,0.5787376893754834,-87,432.0,26.62942984040655,0.6266920608046154,2,3,1.5525251278567611,0.46742653109397825,14,25,26.070600547968372,1.0024188256335058,True,84,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
3,19,58,1,2,-105,721.0,34.89536838253635,0.6516635384944073,-87,432.0,26.62942984040655,0.6266920608046154,4,4,0.8345787523571913,0.8473869508073038,51,9,26.505430048953457,2.8291048215454326,False,84,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
4,24,58,1,2,-105,703.0,38.10803004722395,0.7834369066295364,-87,432.0,26.62942984040655,0.6266920608046154,3,3,1.2851219391714395,0.5836395792672664,17,36,23.019328767308817,1.5084404666727875,False,84,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
5,46,58,1,2,-97,581.0,30.23657169914484,0.5787376893754834,-87,432.0,26.62942984040655,0.6266920608046154,3,3,1.5525251278567611,0.46742653109397825,14,25,26.070600547968372,1.0024188256335058,True,84,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,16,1,2,-125,727.0,40.0548766737577,0.8117669694330415,-125,548.0,32.36788832580724,0.7411039328609464,3,3,0.22827759775991002,0.766762571749303,3,51,35.789273874617116,2.898786579148208,True,104,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,20,1,2,-125,727.0,40.0548766737577,0.8117669694330415,-125,530.0,30.19815140417724,0.6676557278574756,5,3,0.19697538785606916,1.0053668713296817,57,40,35.92627310443725,6.921604797351454,False,104,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,23,1,2,-125,727.0,40.0548766737577,0.8117669694330415,-125,503.0,32.094541664314065,0.7784791541812572,4,4,1.2315477948360094,0.32800402430543096,47,26,49.402727724294465,22.067953381860086,False,104,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,24,43,1,2,-125,727.0,40.0548766737577,0.8117669694330415,-110,450.0,25.885615280813862,0.5136443094590712,2,3,1.506226438570505,1.2764270211543296,45,12,62.71737613119582,38.850936678492126,False,104,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,44,1,2,-125,727.0,40.0548766737577,0.8117669694330415,-110,583.0,30.602947281263575,0.6054489496623798,5,3,1.240924989212365,0.1634449072615176,42,28,52.46746523883832,24.75667803949498,False,104,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
5,18,16,1,2,-125,669.0,35.85584456850536,0.7464143599360666,-125,548.0,32.36788832580724,0.7411039328609464,3,4,0.791987334460769,1.2401323738798062,9,42,25.59782869120811,2.1225820289974955,False,104,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
6,24,16,1,2,-125,727.0,40.0548766737577,0.8117669694330415,-125,548.0,32.36788832580724,0.7411039328609464,5,3,0.22827759775991002,0.766762571749303,3,51,35.789273874617116,2.898786579148208,True,104,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
7,47,16,1,2,-82,1167.0,73.4755459006579,0.9526945120029019,-125,548.0,32.36788832580724,0.7411039328609464,6,2,1.0351322135874232,0.4374773096312037,42,25,24.01460158793596,1.1982628412328842,False,104,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
0,22,14,1,2,-76,784.0,40.221466458560236,0.782630775142495,-76,905.0,46.58298025696965,0.8457611942110369,2,8,0.2680994088288049,0.35021377924127334,33,4,68.18889158508311,29.187634063620102,False,55,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
1,22,20,1,2,-76,784.0,40.221466458560236,0.782630775142495,-76,596.0,32.807062995479235,0.6983145113076115,4,4,0.8292628454191591,1.1853904712541343,21,41,25.056793573923894,1.5941652359437473,True,55,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
2,22,24,1,2,-76,784.0,40.221466458560236,0.782630775142495,-76,676.0,36.13081105038424,0.7447337477338805,5,2,0.8704580445174755,0.01982679492368211,9,29,44.58723261443193,12.446103889452836,False,55,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
3,22,29,1,2,-76,784.0,40.221466458560236,0.782630775142495,-76,497.0,28.364165848102306,0.6113989871547072,4,1,0.30600702803309954,0.3884627484954926,56,4,48.6937852896278,17.01619822981641,False,55,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
4,22,43,1,2,-76,784.0,40.221466458560236,0.782630775142495,-61,539.0,29.265007817466998,0.576426715062769,3,1,0.5589778697327993,0.21080920524455626,6,28,60.66750916223692,28.086061194914926,False,55,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
5,22,44,1,2,-76,784.0,40.221466458560236,0.782630775142495,-61,629.0,34.36540564632884,0.7334485650521613,4,2,0.38007619412426014,0.13233579519425964,4,31,62.53246862711087,26.595808054567847,False,55,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
6,22,48,1,2,-76,784.0,40.221466458560236,0.782630775142495,-58,391.0,27.17991463377129,0.7365139992678245,1,4,0.27956683302508667,1.1699266820336218,27,48,103.0962592219469,73.84587627651513,False,55,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
