,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,57,59,1,2,-101,556.0,29.62829397329715,0.5851064385444908,-100,428.0,26.300374171255246,0.6146474879975725,2,6,0.4809807542413984,0.7900099095246285,35,52,28.01638609798292,2.7445685990503637,True,87,118,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,18,59,1,2,-118,672.0,35.03767134038505,0.70863257339598,-100,428.0,26.300374171255246,0.6146474879975725,2,5,0.5286715411612732,0.197605349707072,54,28,46.873602724605306,18.030282118348644,False,87,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,23,59,1,2,-118,703.0,37.62443297516268,0.7688008695505221,-100,428.0,26.300374171255246,0.6146474879975725,3,3,0.44272256633585694,1.1124325213386177,5,41,29.552030494699103,1.1311587624520534,False,87,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,51,59,1,2,-107,514.0,27.740713163769918,0.5113920690242713,-100,428.0,26.300374171255246,0.6146474879975725,2,6,0.03896061329767786,0.1689497607788447,30,2,40.3771912293733,13.202557871248802,False,87,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,52,59,1,2,-107,513.0,27.028620493146917,0.4399825782830481,-100,428.0,26.300374171255246,0.6146474879975725,1,6,0.2596419757712054,0.16920498903285708,32,58,43.42833183725545,16.484669726857426,False,87,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,53,59,1,2,-106,508.0,28.333023162927795,0.587943472418918,-100,428.0,26.300374171255246,0.6146474879975725,2,1,0.3528609577720765,0.4402860619560347,26,5,84.71207230188145,58.89815686304389,False,87,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
6,57,59,1,2,-101,556.0,29.62829397329715,0.5851064385444908,-100,428.0,26.300374171255246,0.6146474879975725,1,5,0.4809807542413984,0.7900099095246285,35,52,28.01638609798292,2.7445685990503637,True,87,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,22,1,2,-97,514.0,29.985861779511733,0.6816773925438544,-105,698.0,39.71915950267259,0.823044538350772,2,5,0.44389509541071126,0.77873422499189,34,51,67.11187821851847,42.02809463838495,False,74,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,29,1,2,-97,514.0,29.985861779511733,0.6816773925438544,-105,920.0,46.705123659580295,0.8422962548001309,2,6,0.04282423249496592,0.02484910638502358,59,30,38.25639501590065,1.0674375495820485,False,74,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,58,1,2,-97,514.0,29.985861779511733,0.6816773925438544,-87,428.0,26.141345375814197,0.5955614470058169,2,3,1.4054644675865609,0.8366131297445185,16,21,23.458519441989573,1.3536696040476883,True,74,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
3,19,58,1,2,-105,700.0,35.3042919477569,0.6921321806852216,-87,428.0,26.141345375814197,0.5955614470058169,6,4,0.7982190929239223,0.6695451513804849,51,7,26.979889162999502,2.828592397437895,False,74,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
4,24,58,1,2,-105,689.0,37.54105861870033,0.7786701224861406,-87,428.0,26.141345375814197,0.5955614470058169,4,2,1.266385984883783,0.658364588033149,17,37,22.48147885036753,1.434950115947868,False,74,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
5,46,58,1,2,-97,514.0,29.985861779511733,0.6816773925438544,-87,428.0,26.141345375814197,0.5955614470058169,3,3,1.4054644675865609,0.8366131297445185,16,21,23.458519441989573,1.3536696040476883,True,74,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,16,1,2,-125,744.0,40.46774556106553,0.8102608889796542,-125,544.0,31.37856655958936,0.7065698630749941,3,3,0.08190481395015771,0.7189298688315109,1,52,35.33722281329488,2.04645657294947,True,94,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,20,1,2,-125,744.0,40.46774556106553,0.8102608889796542,-125,556.0,31.224611874205845,0.6836475715111399,5,3,0.19574631045062496,0.9263928603890736,57,39,35.631635440676355,6.8471461984609725,False,94,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,23,1,2,-125,744.0,40.46774556106553,0.8102608889796542,-125,526.0,32.43071893346924,0.766685741988852,4,4,0.9819205482288922,0.19754871632788662,49,27,50.648548423824494,22.506401277477266,False,94,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,24,43,1,2,-125,744.0,40.46774556106553,0.8102608889796542,-110,434.0,24.876622658470307,0.4414397889112703,2,3,1.3997788461536151,1.1632710936326642,46,11,63.1750829826752,38.75733831588013,False,94,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,44,1,2,-125,744.0,40.46774556106553,0.8102608889796542,-110,604.0,31.190011089022022,0.609106602741463,5,3,1.2096167260311246,0.06982182295376438,42,29,52.297497591753846,24.042553190756667,False,94,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
5,18,16,1,2,-125,654.0,35.188248928546244,0.7382136517329063,-125,544.0,31.37856655958936,0.7065698630749941,2,4,0.909221671319067,1.0869856848301875,10,41,25.484970843081026,2.122351598719707,False,94,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
6,24,16,1,2,-125,744.0,40.46774556106553,0.8102608889796542,-125,544.0,31.37856655958936,0.7065698630749941,5,3,0.08190481395015771,0.7189298688315109,1,52,35.33722281329488,2.04645657294947,True,94,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
7,47,16,1,2,-82,1223.0,76.57884115998195,0.9562233765000628,-125,544.0,31.37856655958936,0.7065698630749941,5,3,0.820656057990854,0.3479847841131831,41,26,23.778648273524304,1.4229643056809425,False,94,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
