,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,57,59,1,2,-101,536.0,29.040533956736677,0.5805886319504991,-100,398.0,26.89053057998095,0.7095697127116759,2,6,0.5824863914523482,0.8583621148185872,36,51,29.29508203900118,4.949785086332032,True,67,118,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,18,59,1,2,-118,699.0,35.93868912186717,0.7195560378439843,-100,398.0,26.89053057998095,0.7095697127116759,3,4,0.7196951158626552,0.2540898138722487,52,27,43.9309974281913,14.60599112165863,False,67,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,23,59,1,2,-118,682.0,37.89776694608643,0.7926163192396447,-100,398.0,26.89053057998095,0.7095697127116759,4,3,0.35528596766267306,1.4461943890841038,4,44,27.30246424639775,0.037864741294831146,False,67,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,51,59,1,2,-107,514.0,27.982144856139,0.53875671720753,-100,398.0,26.89053057998095,0.7095697127116759,2,6,0.07980696130420606,0.0,29,0,43.70232322596414,16.06594304554775,False,67,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,52,59,1,2,-107,514.0,26.933243318711824,0.419679783390641,-100,398.0,26.89053057998095,0.7095697127116759,1,7,0.2615476226323241,0.22387747406528735,32,57,46.86975400674629,20.02398453523022,False,67,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,53,59,1,2,-106,554.0,29.35536281338183,0.5669818571861609,-100,398.0,26.89053057998095,0.7095697127116759,2,2,0.4961923657688745,0.45378733771812224,25,5,88.86143676081544,61.87487208615034,False,67,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
6,57,59,1,2,-101,536.0,29.040533956736677,0.5805886319504991,-100,398.0,26.89053057998095,0.7095697127116759,1,5,0.5824863914523482,0.8583621148185872,36,51,29.29508203900118,4.949785086332032,True,67,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,22,1,2,-97,469.0,28.917164133672344,0.6948387090392742,-105,708.0,40.27508004155667,0.8260679762921339,3,4,0.7495546989580393,0.8726321511487916,38,50,67.19911109947668,42.42882472777236,False,54,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,29,1,2,-97,469.0,28.917164133672344,0.6948387090392742,-105,919.0,47.2115140852987,0.8498814605441747,2,6,0.0,0.021526139385067644,0,30,37.75255869171088,1.2539002275364826,False,54,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,58,1,2,-97,469.0,28.917164133672344,0.6948387090392742,-87,406.0,25.749786271503435,0.6173788603398751,2,3,1.287732752365663,0.48051953134219305,13,25,22.931557518255996,2.1602822143908607,True,54,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
3,19,58,1,2,-105,674.0,34.646995106268875,0.6944918180737161,-87,406.0,25.749786271503435,0.6173788603398751,6,3,1.0044023890643388,0.6488382116912833,49,7,27.077570489833725,3.5367714962206804,False,54,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
4,24,58,1,2,-105,673.0,37.95223083196345,0.7991225916489706,-87,406.0,25.749786271503435,0.6173788603398751,4,3,1.1257748704135522,1.36570030051619,12,43,22.418234911308506,2.1328727825641454,False,54,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
5,46,58,1,2,-97,469.0,28.917164133672344,0.6948387090392742,-87,406.0,25.749786271503435,0.6173788603398751,3,3,1.287732752365663,0.48051953134219305,13,25,22.931557518255996,2.1602822143908607,True,54,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,16,1,2,-125,707.0,36.2316258566596,0.7257044759054662,-125,547.0,31.680247178382515,0.7143238357220347,3,3,0.08772124511248704,0.7200619203575833,1,52,37.328979124427875,6.149625218329696,True,74,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,20,1,2,-125,707.0,36.2316258566596,0.7257044759054662,-125,531.0,31.229499810588027,0.717004133037265,5,3,0.22821623432107252,1.0498897677621244,57,40,36.6025027367261,9.321490432712462,False,74,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,23,1,2,-125,707.0,36.2316258566596,0.7257044759054662,-125,491.0,31.322305421080756,0.7645880118631294,4,4,1.0635327960646856,0.10116169655945662,49,28,52.052977782558735,23.025929241449568,False,74,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,24,43,1,2,-125,707.0,36.2316258566596,0.7257044759054662,-110,434.0,24.972519041484862,0.455700750051914,2,3,1.4241942958770801,1.2686493462403232,46,12,62.492201510542365,37.70295097329332,False,74,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,44,1,2,-125,707.0,36.2316258566596,0.7257044759054662,-110,613.0,31.839950210490773,0.6366611171176622,5,3,1.2030286507957175,0.03365391327599854,42,30,50.93536495149366,22.627664212596258,False,74,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
5,18,16,1,2,-125,673.0,36.09461406134108,0.7503563650465173,-125,547.0,31.680247178382515,0.7143238357220347,2,4,0.872630455524896,1.0970327795939916,10,41,25.790518995364387,2.138669212586633,False,74,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
6,24,16,1,2,-125,707.0,36.2316258566596,0.7257044759054662,-125,547.0,31.680247178382515,0.7143238357220347,5,3,0.08772124511248704,0.7200619203575833,1,52,37.328979124427875,6.149625218329696,True,74,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
7,47,16,1,2,-82,1226.0,75.55763473143213,0.9529112728972471,-125,547.0,31.680247178382515,0.7143238357220347,5,3,1.0696343313712298,0.44444677236612273,42,25,23.816630058504156,1.3461755704829002,False,74,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
0,22,14,1,2,-76,709.0,38.33648711832916,0.7862493415070215,-76,906.0,46.50677694011075,0.844068199785897,2,8,0.2537897115050338,0.2613103617435115,33,3,69.32830275201464,30.549450989660457,False,25,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
1,22,20,1,2,-76,709.0,38.33648711832916,0.7862493415070215,-76,564.0,32.45199424088161,0.7167137732964836,4,5,1.553612118681513,1.0541265236650803,15,48,23.248869956095593,1.2024629798903816,True,25,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
2,22,24,1,2,-76,709.0,38.33648711832916,0.7862493415070215,-76,679.0,35.453998745561115,0.7223864053474369,5,2,0.8687413478552711,0.010602077532485321,9,29,43.622014802721324,12.522693301221617,False,25,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
3,22,29,1,2,-76,709.0,38.33648711832916,0.7862493415070215,-76,463.0,26.131635320193716,0.5013172150428825,4,2,0.4211378681346858,0.3876963130201328,55,4,49.54750513654682,20.126307758028773,False,25,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
