,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,23,18,1,2,-154,1050.0,43.475705497182034,0.6998425735964845,-170,1494.0,50.502454785139605,0.6563261008881752,1,3,0.793385075476333,0.5384086106915089,38,24,46.77765480579505,6.374502503134975,True,19,170,23,YAV2104xYAV2105_005_01_rigid_003003.tif,,
1,9,18,1,2,-170,1275.0,48.36391221404919,0.7063683719186619,-170,1494.0,50.502454785139605,0.6563261008881752,1,3,0.43465156425752793,0.16995560615967742,34,28,95.42759761304718,47.636132938130096,False,19,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,,
2,10,18,1,2,-170,1995.0,63.316125113714854,0.7679399132804402,-170,1494.0,50.502454785139605,0.6563261008881752,2,1,0.6980000481210906,0.19994174293747635,52,32,109.51793819726207,59.49738174679476,False,19,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,,
3,23,18,1,2,-154,1050.0,43.475705497182034,0.6998425735964845,-170,1494.0,50.502454785139605,0.6563261008881752,1,6,0.793385075476333,0.5384086106915089,38,24,46.77765480579505,6.374502503134975,True,19,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,,
0,7,8,1,2,-185,1224.0,46.80220312179121,0.6965410063726635,-185,1134.0,43.99083672282415,0.6602862203684174,3,1,0.7236732882213066,0.4820106342598668,23,5,82.56305988359864,44.00517868749239,False,34,185,8,YAV2104xYAV2105_005_02_rigid_003003.tif,,
0,5,6,1,2,-194,1615.0,51.82712483627916,0.6356270542662048,-194,1108.0,44.82859890403208,0.7080549478842453,3,0,1.3852615854695955,0.30037630623492806,16,56,69.35535209212738,26.00837605858879,False,43,194,6,YAV2104xYAV2105_005_05_rigid_003008.tif,,
1,10,6,1,2,-160,1037.0,40.74419582684414,0.6021420602156833,-194,1108.0,44.82859890403208,0.7080549478842453,1,1,0.0,0.13158549476452785,0,31,102.14370676108756,61.51944651242213,False,43,194,6,YAV2104xYAV2105_005_05_rigid_003008.tif,,
2,11,6,1,2,-160,1059.0,40.384983400858125,0.559208176980641,-194,1108.0,44.82859890403208,0.7080549478842453,1,1,1.19521241008758,0.4437003390192391,18,34,126.50458036684051,89.20483329965363,False,43,194,6,YAV2104xYAV2105_005_05_rigid_003008.tif,,
0,16,8,1,2,-237,1309.0,48.33468841858765,0.6978017211598352,-237,1170.0,46.03557431257229,0.70544332118727,2,2,0.8971504526580815,0.2158296963888553,9,32,75.72040073562391,32.071000261881146,False,86,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
1,16,11,1,2,-237,1309.0,48.33468841858765,0.6978017211598352,-237,963.0,39.27760885056026,0.5975444549244482,2,2,1.5461108010117055,0.8092453684893881,15,38,37.45346107019922,4.325034971076935,False,86,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
2,16,15,1,2,-237,1309.0,48.33468841858765,0.6978017211598352,-237,1676.0,59.40859560114887,0.7906019589992557,2,3,0.266785235688757,0.4747643666617509,27,5,67.0925718768141,16.161740282028784,False,86,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
0,10,13,1,2,-187,1337.0,49.49931469435815,0.7136076108102473,-162,1216.0,44.243646327794515,0.6063040357875396,1,1,0.09514502391972535,1.2252160347695984,28,42,171.44385181986505,129.52300316063506,False,36,187,13,YAV2104xYAV2105_005_06_rigid_003002.tif,,
0,15,6,1,2,-204,1157.0,42.24274250076839,0.5584677864913753,-215,1323.0,45.66820850796232,0.5808844127861934,1,1,1.2693865737492989,0.5693492717293758,12,35,49.93192284767973,9.518146894118651,False,64,215,15,YAV2104xYAV2105_005_06_rigid_003005.tif,,
1,15,7,1,2,-204,1157.0,42.24274250076839,0.5584677864913753,-215,1366.0,49.43950792885133,0.6955958245778833,1,2,0.905738227845752,0.9075448110637154,21,50,43.260657359104876,1.065471441442632,True,64,215,15,YAV2104xYAV2105_005_06_rigid_003005.tif,,
