,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,9,18,1,2,-170,1246.0,46.74390512377915,0.6712409001543657,-170,1465.0,51.500740214423786,0.6946031349272893,1,0,0.31067970095279884,0.32269323030726316,33,27,95.47750981815231,47.07603487957512,False,9,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,,
1,10,18,1,2,-170,1925.0,61.704859210657816,0.7595237927943916,-170,1465.0,51.500740214423786,0.6946031349272893,2,0,0.7194981747012479,0.23646397453156576,52,33,108.81231486417389,59.41265529400814,False,9,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,,
0,5,6,1,2,-194,1579.0,51.10737179838216,0.6320037010826464,-194,1019.0,42.824811082699334,0.6983152964319935,3,0,1.3853991998223711,0.29377534936137284,16,56,68.96950275906164,26.00325773380095,False,33,194,6,YAV2104xYAV2105_005_05_rigid_003008.tif,,
0,16,8,1,2,-237,1235.0,45.19292510106345,0.633107292931819,-237,1150.0,45.40376300782,0.6993916531530872,2,2,1.0183576530619733,0.1387347289796197,10,31,75.95360338542642,32.450381776825544,False,76,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
1,16,11,1,2,-237,1235.0,45.19292510106345,0.633107292931819,-237,1007.0,42.31922235298817,0.6921992345858765,2,2,1.5667002796523186,0.7998755932853516,15,38,38.53429757606026,4.269538046580637,False,76,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
2,16,15,1,2,-237,1235.0,45.19292510106345,0.633107292931819,-237,1650.0,59.135789574663264,0.7939275766112144,2,3,0.290081155298644,0.4616324510699079,27,5,67.25302529080868,18.674341537713016,False,76,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
0,15,6,1,2,-204,1207.0,43.22349224277626,0.5648072994203968,-215,1376.0,46.51859339493509,0.578543926776167,1,1,1.1542203423876014,0.6455073212126976,11,36,50.35675722638714,9.268191102042787,False,54,215,15,YAV2104xYAV2105_005_06_rigid_003005.tif,,
1,15,7,1,2,-204,1207.0,43.22349224277626,0.5648072994203968,-215,1395.0,49.60708378694279,0.6828579350791044,1,2,0.8636390454514564,0.9129394241816886,21,50,43.64665886197395,1.0006539791785196,True,54,215,15,YAV2104xYAV2105_005_06_rigid_003005.tif,,
2,14,7,1,2,-204,1227.0,46.913677857913655,0.6992520874990861,-215,1395.0,49.60708378694279,0.6828579350791044,1,1,1.549741188368336,1.028251510082872,15,39,35.18606699235162,0.7559095413212121,False,54,215,7,YAV2104xYAV2105_005_06_rigid_003005.tif,,
3,15,7,1,2,-204,1207.0,43.22349224277626,0.5648072994203968,-215,1395.0,49.60708378694279,0.6828579350791044,2,1,0.8636390454514564,0.9129394241816886,21,50,43.64665886197395,1.0006539791785196,True,54,215,7,YAV2104xYAV2105_005_06_rigid_003005.tif,,
0,14,10,1,2,-177,1286.0,46.393242140847875,0.6459851709558109,-199,1099.0,45.86248368780105,0.7377288745910733,1,5,0.8690632490330016,1.4689099524661435,9,15,32.2032998521925,0.011778207185415113,True,50,211,14,YAV2104xYAV2105_005_06_rigid_003009.tif,,
1,2,10,1,2,-211,1516.0,54.100459851507445,0.7486572666354504,-199,1099.0,45.86248368780105,0.7377288745910733,1,2,0.3032237683091763,0.09810793009102614,33,58,47.719508818664266,0.5117735372820637,False,50,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,,
2,3,10,1,2,-211,1201.0,47.053974104242904,0.7195528868020012,-199,1099.0,45.86248368780105,0.7377288745910733,2,2,0.45052151695034137,1.327712650512841,25,42,34.846045589608636,1.0000194669527904,False,50,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,,
3,7,10,1,2,-211,1309.0,49.67757950464647,0.7353801267621122,-199,1099.0,45.86248368780105,0.7377288745910733,4,1,0.053824146772820214,1.098956585174137,30,40,59.87191378198836,16.26508360180809,False,50,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,,
4,14,10,1,2,-177,1286.0,46.393242140847875,0.6459851709558109,-199,1099.0,45.86248368780105,0.7377288745910733,1,2,0.8690632490330016,1.4689099524661435,9,15,32.2032998521925,0.011778207185415113,True,50,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,,
5,15,10,1,2,-177,1313.0,46.76711719803409,0.627372695387746,-199,1099.0,45.86248368780105,0.7377288745910733,2,1,0.09007153960919452,0.46403959061995925,1,24,53.25805025850684,9.195158327105654,False,50,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,,
0,8,2,1,2,-201,1366.0,48.80889944315248,0.6774847516175221,-215,1777.0,59.52554686365197,0.7671638382626381,0,1,1.1762954289335006,0.30460969840820873,18,56,56.29961500165612,8.307149229421215,False,54,215,8,YAV2104xYAV2105_005_09_rigid_003001.tif,,
0,14,6,1,2,-178,838.0,34.131923713644426,0.39330528302044115,-208,1155.0,44.0563606293518,0.6493118210172003,2,2,0.41897539653088944,1.266362254947623,4,42,36.22972909610896,3.015334002414899,True,47,208,14,YAV2104xYAV2105_005_09_rigid_003005.tif,,
1,14,8,1,2,-178,838.0,34.131923713644426,0.39330528302044115,-208,1168.0,45.32355198075401,0.6838538678290452,3,1,0.13549135055995976,0.5348464773615911,58,35,69.32840611192783,30.765458078948505,False,47,208,14,YAV2104xYAV2105_005_09_rigid_003005.tif,,
2,14,9,1,2,-178,838.0,34.131923713644426,0.39330528302044115,-208,1462.0,54.323549711652205,0.774399233007189,3,2,0.4568081994811557,0.18536069941039646,55,32,52.72469138939726,10.055413848891241,False,47,208,14,YAV2104xYAV2105_005_09_rigid_003005.tif,,
3,14,17,1,2,-178,838.0,34.131923713644426,0.39330528302044115,-166,912.0,38.39775524286647,0.6107126261989057,1,3,1.0162430196921144,0.0,20,0,45.46244389795134,10.05140606934629,False,47,208,14,YAV2104xYAV2105_005_09_rigid_003005.tif,,
4,14,6,1,2,-178,838.0,34.131923713644426,0.39330528302044115,-208,1155.0,44.0563606293518,0.6493118210172003,4,1,0.41897539653088944,1.266362254947623,4,42,36.22972909610896,3.015334002414899,True,47,208,6,YAV2104xYAV2105_005_09_rigid_003005.tif,,
5,15,6,1,2,-178,1131.0,41.754174804277135,0.5516864713794247,-208,1155.0,44.0563606293518,0.6493118210172003,2,1,1.5027882869403741,1.2616409356282485,14,47,57.935617195084326,21.941466381883057,False,47,208,6,YAV2104xYAV2105_005_09_rigid_003005.tif,,
0,6,9,1,2,-195,1116.0,40.29717483648813,0.47862380480978256,-192,1164.0,45.22470131710038,0.68594241300032,1,1,0.6914897932873352,0.7895524987242903,23,38,35.22246766758371,0.3480820990844615,True,59,220,6,YAV2104xYAV2105_005_09_rigid_004009.tif,,
1,6,9,1,2,-195,1116.0,40.29717483648813,0.47862380480978256,-192,1164.0,45.22470131710038,0.68594241300032,1,1,0.6914897932873352,0.7895524987242903,23,38,35.22246766758371,0.3480820990844615,True,59,220,9,YAV2104xYAV2105_005_09_rigid_004009.tif,,
0,15,25,1,2,-208,1375.0,47.67928468468841,0.6285411560720356,-179,1110.0,44.588837957592204,0.6975946166144606,3,2,1.1678163218990711,0.4269596637846691,41,55,106.40357569059324,67.86325228490155,False,47,208,15,YAV2104xYAV2105_005_11_rigid_004007.tif,,
0,18,10,1,2,-195,1292.0,42.143354641910264,0.35961353670498775,-196,1484.0,48.00133446543568,0.5651417481987583,3,1,0.04325318140704759,0.8639502805031469,30,38,49.302080047124605,7.366751918914102,False,35,196,18,YAV2104xYAV2105_005_12_rigid_003008.tif,,
1,18,21,1,2,-195,1292.0,42.143354641910264,0.35961353670498775,-183,1291.0,43.672268829362324,0.5020869058609342,2,2,1.0148146086579852,0.21716602935775997,20,27,119.06636173133481,77.60854176498177,False,35,196,18,YAV2104xYAV2105_005_12_rigid_003008.tif,,
2,18,23,1,2,-195,1292.0,42.143354641910264,0.35961353670498775,-179,1261.0,47.72816743360001,0.7024261589105391,4,2,0.8068076084004532,0.6815606180745624,22,37,71.26416197415324,30.285534660757207,True,35,196,18,YAV2104xYAV2105_005_12_rigid_003008.tif,,
