,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,57,59,1,2,-101,527.0,29.5936481955013,0.6397359706554382,-100,346.0,26.762501124232465,0.785236709999259,2,6,0.4058283488230199,0.5099218503102367,34,54,28.962773590573974,4.243614669501758,True,37,118,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,18,59,1,2,-118,647.0,34.49757309657443,0.7157255714458327,-100,346.0,26.762501124232465,0.785236709999259,3,4,0.6980197765943279,0.19755369037885684,52,27,43.69465098514337,14.852392092177189,False,37,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,23,59,1,2,-118,667.0,37.11717375915128,0.7831902559833577,-100,346.0,26.762501124232465,0.785236709999259,4,5,0.43941962314534333,1.2294246783151523,5,42,27.126753337691042,2.004539434701186,False,37,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,51,59,1,2,-107,529.0,28.30354241930441,0.5280711874162908,-100,346.0,26.762501124232465,0.785236709999259,2,7,0.03936550385617643,0.08878993892736085,29,1,43.540157920267184,15.82494226989222,False,37,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,52,59,1,2,-107,511.0,26.34768682288848,0.323483830891678,-100,346.0,26.762501124232465,0.785236709999259,1,7,0.538174441302719,0.22358194857950675,35,57,47.086037968716944,21.08026899280527,False,37,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,53,59,1,2,-106,507.0,27.408420112174856,0.4995457909663972,-100,346.0,26.762501124232465,0.785236709999259,2,2,0.5489758723754674,0.3538928495388232,25,4,87.4891259507896,61.44441314483457,False,37,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
6,57,59,1,2,-101,527.0,29.5936481955013,0.6397359706554382,-100,346.0,26.762501124232465,0.785236709999259,1,4,0.4058283488230199,0.5099218503102367,34,54,28.962773590573974,4.243614669501758,True,37,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,22,1,2,-97,459.0,28.648328567634017,0.6964248828197426,-105,684.0,40.37439451516751,0.8394311020813602,3,4,0.8665383488168512,1.0074466205430754,39,49,68.65548383787169,44.76185151447072,False,24,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,29,1,2,-97,459.0,28.648328567634017,0.6964248828197426,-105,917.0,47.15255589273908,0.8488916510641824,3,6,0.0,0.011654627757898606,0,30,37.815849363464444,1.4550422782443584,False,24,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,58,1,2,-97,459.0,28.648328567634017,0.6964248828197426,-87,404.0,26.340263325294,0.665532246010052,2,3,1.2621504432062935,0.4419194066184424,13,25,22.80804270899387,2.350112285203604,True,24,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
3,19,58,1,2,-105,703.0,35.37856158627086,0.6943243004780081,-87,404.0,26.340263325294,0.665532246010052,6,5,1.022415401176593,0.7769862484322382,49,8,25.996087301778296,2.124436867547691,False,24,105,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
