,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,5,6,1,2,-194,1340.0,44.36506699335467,0.47140793883010024,-194,1175.0,45.291612205809244,0.6783809414022522,3,0,0.4588976677277339,0.3848457807425163,25,55,67.02191003183528,20.14769364310436,False,13,194,6,YAV2104xYAV2105_005_05_rigid_003008.tif,,
0,16,8,1,2,-237,1241.0,44.94304177727364,0.6171819086691189,-237,1176.0,45.10828680105909,0.6735341164093994,3,2,1.0214422166239705,0.29871351274195357,10,33,75.80289603329841,33.44723835677006,False,56,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
1,16,11,1,2,-237,1241.0,44.94304177727364,0.6171819086691189,-237,918.0,39.61101550735207,0.6637149808910466,2,2,1.3174431221657597,0.8518986239144786,17,38,37.973916053269605,4.378326230232428,False,56,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
2,16,15,1,2,-237,1241.0,44.94304177727364,0.6171819086691189,-237,1678.0,59.99933100825171,0.7980374892622892,3,3,0.2787005190064695,0.3764445162679497,27,4,67.58216086644586,17.346471916637945,False,56,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,,
0,15,6,1,2,-204,1154.0,42.339704614055606,0.5685939828596921,-215,1313.0,46.09518936352394,0.6094350679323682,1,1,1.2815794740415518,0.5862063061540641,12,35,49.899929153422036,9.105017328106552,False,34,215,15,YAV2104xYAV2105_005_06_rigid_003005.tif,,
1,15,7,1,2,-204,1154.0,42.339704614055606,0.5685939828596921,-215,1368.0,49.55478698732216,0.6965018234243912,1,3,0.8878250446514628,0.8801313713192522,21,50,42.16498250053127,1.1138703068425457,True,34,215,15,YAV2104xYAV2105_005_06_rigid_003005.tif,,
2,14,7,1,2,-204,1189.0,45.61809143760084,0.676884260849972,-215,1368.0,49.55478698732216,0.6965018234243912,1,2,1.56422585366505,0.8883671867988365,15,38,34.68720138341798,0.7129802187228316,False,34,215,7,YAV2104xYAV2105_005_06_rigid_003005.tif,,
3,15,7,1,2,-204,1154.0,42.339704614055606,0.5685939828596921,-215,1368.0,49.55478698732216,0.6965018234243912,2,1,0.8878250446514628,0.8801313713192522,21,50,42.16498250053127,1.1138703068425457,True,34,215,7,YAV2104xYAV2105_005_06_rigid_003005.tif,,
4,17,7,1,2,-190,1208.0,42.65844789743164,0.5274618538677435,-215,1368.0,49.55478698732216,0.6965018234243912,1,1,1.1183034930000926,0.08716073839306349,11,30,134.87537043516468,91.64897417410353,False,34,215,7,YAV2104xYAV2105_005_06_rigid_003005.tif,,
0,2,10,1,2,-211,1438.0,53.13926681521269,0.7581726189286285,-199,1053.0,44.5240629872375,0.7287894247682792,1,1,0.20290184337380746,0.08260241000570234,32,29,46.638258397002595,0.41674339832789237,False,30,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,,
1,3,10,1,2,-211,1218.0,45.800632843826165,0.6710620269238503,-199,1053.0,44.5240629872375,0.7287894247682792,2,2,0.632866369677465,1.3712165837237256,23,13,34.24584512734553,0.4977175454717184,False,30,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,,
2,7,10,1,2,-211,1273.0,47.21793696457951,0.6819904116225839,-199,1053.0,44.5240629872375,0.7287894247682792,2,1,0.036278081186234434,1.0120591447156166,30,10,59.631059726419956,17.055278138767274,False,30,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,,
0,8,2,1,2,-201,1391.0,48.15518585037329,0.6391816078843118,-215,1709.0,58.59715977857005,0.7714212935357749,0,1,1.0962075701200753,0.21336405164371985,19,57,56.90114193047933,10.055573462576636,False,34,215,8,YAV2104xYAV2105_005_09_rigid_003001.tif,,
0,6,9,1,2,-195,1108.0,40.0978881086017,0.4715910466064002,-192,1168.0,45.57218824954672,0.6948486178798976,1,1,0.6144530184884447,0.7035642719788142,24,37,35.674373666630295,0.7702206215255536,True,39,220,6,YAV2104xYAV2105_005_09_rigid_004009.tif,,
1,6,9,1,2,-195,1108.0,40.0978881086017,0.4715910466064002,-192,1168.0,45.57218824954672,0.6948486178798976,1,1,0.6144530184884447,0.7035642719788142,24,37,35.674373666630295,0.7702206215255536,True,39,220,9,YAV2104xYAV2105_005_09_rigid_004009.tif,,
0,18,10,1,2,-195,1251.0,41.62100124965492,0.3793671197838099,-196,1421.0,48.07998545200631,0.61912595054898,2,1,0.04767007106278731,0.6993124069869738,30,37,49.260256058395505,7.828682112848618,False,15,196,18,YAV2104xYAV2105_005_12_rigid_003008.tif,,
1,18,21,1,2,-195,1251.0,41.62100124965492,0.3793671197838099,-183,1237.0,42.149522376452225,0.4540891394025552,0,2,1.1019981709841775,0.29839508724391095,19,26,120.73751282778441,80.43893983868684,False,15,196,18,YAV2104xYAV2105_005_12_rigid_003008.tif,,
0,27,25,1,2,-189,770.0,34.2019207215458,0.5386448892824927,-195,992.0,39.50482558633863,0.5736242938520123,2,4,0.8845692619265764,0.31998604659710495,21,56,42.36252523923629,7.079242073003949,False,27,208,25,YAV2104xYAV2105_005_16_rigid_003001.tif,,
0,6,36,1,2,-219,1293.0,47.35491399606313,0.6722266252935808,-189,1317.0,49.713548434899835,0.7270724799072885,4,1,0.6770493544104275,1.266205175323841,52,12,64.38871101119855,27.36690562015979,False,38,219,36,YAV2104xYAV2105_005_16_rigid_003002.tif,,
1,20,36,1,2,-219,1351.0,50.971919930781795,0.7421432694751979,-189,1317.0,49.713548434899835,0.7270724799072885,4,2,0.7555589714880061,0.0012363036482589962,8,29,91.36451325783248,44.32032466957698,False,38,219,36,YAV2104xYAV2105_005_16_rigid_003002.tif,,
2,30,36,1,2,-198,958.0,36.64716131102236,0.38750245897192037,-189,1317.0,49.713548434899835,0.7270724799072885,1,5,0.8214639950257858,1.4069927190043892,37,46,49.06148992466092,10.936593157889462,False,38,219,36,YAV2104xYAV2105_005_16_rigid_003002.tif,,
3,33,36,1,2,-190,1115.0,40.50014895858406,0.4851995659394313,-189,1317.0,49.713548434899835,0.7270724799072885,3,4,0.4132311271091913,0.5075211548211218,25,54,47.2442604642823,5.269765314711977,False,38,219,36,YAV2104xYAV2105_005_16_rigid_003002.tif,,
4,38,36,1,2,-187,1080.0,40.536362967016245,0.5328825766534608,-189,1317.0,49.713548434899835,0.7270724799072885,3,2,1.44597697464162,0.25925843624279254,16,32,85.14772820150752,43.027623275705665,False,38,219,36,YAV2104xYAV2105_005_16_rigid_003002.tif,,
0,32,10,1,2,-186,1082.0,41.78913835392486,0.6016592750890275,-207,1664.0,61.18000944375549,0.8231030940547701,0,3,0.37819675812580567,1.5067074183718319,4,44,97.21035925514417,58.69471260749851,False,26,207,32,YAV2104xYAV2105_005_16_rigid_003008.tif,,
1,32,14,1,2,-186,1082.0,41.78913835392486,0.6016592750890275,-207,1316.0,51.518783129168696,0.7704426283368994,2,2,0.8212090546291835,0.5924753951614674,22,53,71.59158585212819,32.11659038555187,False,26,207,32,YAV2104xYAV2105_005_16_rigid_003008.tif,,
2,32,17,1,2,-186,1082.0,41.78913835392486,0.6016592750890275,-207,1059.0,42.10111172499893,0.6443372147563742,4,2,0.2312027046778793,0.17650966997981504,28,2,63.315508730030004,20.76131537782109,False,26,207,32,YAV2104xYAV2105_005_16_rigid_003008.tif,,
3,32,18,1,2,-186,1082.0,41.78913835392486,0.6016592750890275,-207,1008.0,43.179712571349924,0.7223346278494407,4,2,0.1479321219452494,0.9290454691490688,32,20,38.250942138068126,3.5632951608891776,True,26,207,32,YAV2104xYAV2105_005_16_rigid_003008.tif,,
