,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,23,1,-154,1050.0,43.475705497182034,0.6998425735964845,6,1,18,2,-170,1494.0,50.5024547851396,0.6563261008881753,1,3,0.793385075476333,0.5384086106915089,38,24,46.77765480579505,6.374502503134975,True,19,170,23,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
1,9,1,-170,1275.0,48.36391221404919,0.7063683719186619,3,1,18,2,-170,1494.0,50.5024547851396,0.6563261008881753,1,3,0.43465156425752793,0.16995560615967742,34,28,95.42759761304718,47.636132938130096,False,19,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
2,10,1,-170,1995.0,63.31612511371486,0.7679399132804402,1,2,18,2,-170,1494.0,50.5024547851396,0.6563261008881753,1,3,0.6980000481210906,0.19994174293747635,52,32,109.51793819726207,59.49738174679476,False,19,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
3,23,1,-154,1050.0,43.475705497182034,0.6998425735964845,6,1,18,2,-170,1494.0,50.5024547851396,0.6563261008881753,1,3,0.793385075476333,0.5384086106915089,38,24,46.77765480579505,6.374502503134975,True,19,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
0,7,1,-185,1224.0,46.802203121791216,0.6965410063726636,1,3,8,2,-185,1134.0,43.990836722824156,0.6602862203684176,2,1,0.7236732882213066,0.4820106342598668,23,5,82.56305988359864,44.00517868749239,False,34,185,8,YAV2104xYAV2105_005_02_rigid_003003.tif,0.1296,2.0
0,5,1,-194,1615.0,51.82712483627916,0.6356270542662046,0,3,6,2,-194,1108.0,44.82859890403208,0.7080549478842453,2,3,1.3852615854695955,0.30037630623492806,16,56,69.35535209212738,26.00837605858879,False,43,194,6,YAV2104xYAV2105_005_05_rigid_003008.tif,0.1296,2.0
1,10,1,-160,1037.0,40.744195826844134,0.6021420602156832,1,1,6,2,-194,1108.0,44.82859890403208,0.7080549478842453,2,3,0.0,0.13158549476452785,0,31,102.14370676108756,61.51944651242213,False,43,194,6,YAV2104xYAV2105_005_05_rigid_003008.tif,0.1296,2.0
2,11,1,-160,1059.0,40.38498340085812,0.5592081769806408,1,1,6,2,-194,1108.0,44.82859890403208,0.7080549478842453,2,3,1.19521241008758,0.4437003390192391,18,34,126.50458036684051,89.20483329965363,False,43,194,6,YAV2104xYAV2105_005_05_rigid_003008.tif,0.1296,2.0
0,16,1,-237,1309.0,48.334688418587646,0.6978017211598352,1,3,8,2,-237,1170.0,46.03557431257229,0.7054433211872698,2,2,0.8971504526580815,0.2158296963888553,9,32,75.72040073562391,32.071000261881146,False,86,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,0.1296,2.0
1,16,1,-237,1309.0,48.334688418587646,0.6978017211598352,1,3,11,2,-237,963.0,39.27760885056027,0.5975444549244484,2,2,1.5461108010117055,0.8092453684893881,15,38,37.45346107019922,4.325034971076935,False,86,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,0.1296,2.0
