,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,18,1,-118,654.0,34.67428813674556,0.7173222754837753,4,2,58,2,-102,430.0,27.50697057850126,0.6887996458379166,3,6,0.7012381229415139,0.18198790841334223,52,28,42.791409278914294,13.450731702802715,False,57,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,23,1,-118,665.0,36.72984911362205,0.7738855579086082,4,3,58,2,-102,430.0,27.50697057850126,0.6887996458379166,3,6,0.35173786181823097,1.4475176753009755,4,46,27.4945397522312,0.289992882257537,False,57,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,51,1,-107,502.0,27.002311154576237,0.46846239707891835,6,1,58,2,-102,430.0,27.50697057850126,0.6887996458379166,3,6,0.16644814195943658,0.1806145530205309,28,2,44.95081046193049,17.672014527993067,False,57,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,52,1,-107,500.0,26.67545454129023,0.43423795099061385,8,0,58,2,-102,430.0,27.50697057850126,0.6887996458379166,3,6,0.382129237545636,0.14045951520248678,33,58,47.78271632442198,20.832382422702175,False,57,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,53,1,-106,551.0,28.59964339429124,0.5030672018276201,2,1,58,2,-102,430.0,27.50697057850126,0.6887996458379166,3,6,0.5072408592107065,0.448024768906247,25,5,89.03094860019225,61.413631367161045,False,57,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,59,1,-102,532.0,29.348681267485592,0.6128642726710741,4,0,58,2,-102,430.0,27.50697057850126,0.6887996458379166,3,6,0.5883995047853463,0.6428426622941075,36,53,29.741569366477425,4.242937694607703,True,57,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,1,-97,461.0,28.78845424740679,0.7027143922034436,4,3,22,2,-105,691.0,39.617930135878154,0.8230168812866223,2,4,0.5850112481498395,0.6887806842195312,36,52,66.65708390983045,42.49438463122835,False,44,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,1,-97,461.0,28.78845424740679,0.7027143922034436,4,3,29,2,-105,919.0,47.01555769833523,0.8462291604627961,3,6,0.0,0.018478794667497134,0,30,38.132846718665775,2.1234281315591153,False,44,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,1,-97,461.0,28.78845424740679,0.7027143922034436,4,3,57,2,-89,403.0,25.70267686647803,0.6215583712909726,2,3,1.3075486404830716,0.5646266260482786,13,24,22.883354180818884,2.491089670888009,True,44,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
3,19,1,-105,685.0,35.18131404502842,0.7037905781252477,4,6,57,2,-89,403.0,25.70267686647803,0.6215583712909726,2,3,1.0266730065623406,0.6510869995134886,49,7,26.628976129096497,2.8325756721979483,False,44,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
4,24,1,-105,654.0,37.00114849023794,0.7885301039374067,3,4,57,2,-89,403.0,25.70267686647803,0.6215583712909726,2,3,1.2722078958409324,0.5283945099905671,17,36,22.61368149134671,2.148053820532791,False,44,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
5,46,1,-97,461.0,28.78845424740679,0.7027143922034436,4,3,57,2,-89,403.0,25.70267686647803,0.6215583712909726,2,3,1.3075486404830716,0.5646266260482786,13,24,22.883354180818884,2.491089670888009,True,44,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,1,-125,644.0,33.35670478867378,0.6741712658427467,3,6,15,2,-125,598.0,38.0073966792369,0.8459397063227373,5,2,0.0,0.9194193284842669,0,40,55.71988766686921,27.647185597999886,False,64,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,1,-125,644.0,33.35670478867378,0.6741712658427467,3,6,16,2,-125,550.0,31.652963078288124,0.7095652553861921,3,3,0.2711080770877809,0.9073874875664147,3,50,38.695989402267394,9.273682433572478,True,64,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,1,-125,644.0,33.35670478867378,0.6741712658427467,3,6,20,2,-125,520.0,30.547674372408505,0.6994484106710138,5,3,0.23672797102758292,1.154690143427854,57,41,37.4785859227373,10.654848059855025,False,64,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,24,1,-125,644.0,33.35670478867378,0.6741712658427467,3,6,23,2,-125,497.0,31.32858914515598,0.7573849860058902,5,5,0.9614159320087632,0.13607376895308354,50,31,52.945898293504825,25.00230800173967,False,64,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,1,-125,644.0,33.35670478867378,0.6741712658427467,3,6,43,2,-110,434.0,24.623991414873064,0.39892279380133655,2,3,1.314762002760217,1.0072018294864256,47,39,63.36089011968714,38.337344462544465,False,64,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
5,24,1,-125,644.0,33.35670478867378,0.6741712658427467,3,6,44,2,-110,592.0,31.48820560899394,0.646443573398719,5,3,1.4685890371586758,0.0993570329253588,44,29,51.08635324433624,23.334547753692437,False,64,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
6,18,1,-125,673.0,36.42254654982908,0.7607860190905184,4,2,16,2,-125,550.0,31.652963078288124,0.7095652553861921,3,3,0.7604453359400498,1.246130450246187,9,42,25.44532433779013,1.71679211210402,False,64,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
7,24,1,-125,644.0,33.35670478867378,0.6741712658427467,3,6,16,2,-125,550.0,31.652963078288124,0.7095652553861921,3,3,0.2711080770877809,0.9073874875664147,3,50,38.695989402267394,9.273682433572478,True,64,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
8,47,1,-82,1168.0,74.91287901408933,0.955203196541707,3,5,16,2,-125,550.0,31.652963078288124,0.7095652553861921,3,3,0.83967842558291,0.24455702857137274,41,27,23.14504304362962,1.324318034164411,False,64,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
0,22,1,-76,728.0,38.90459861956008,0.7866073628929042,3,6,14,2,-76,888.0,45.09875384174471,0.8280642028940235,1,8,0.19711971504609194,0.26133097810007233,32,3,69.43725107890256,30.886963258685906,False,15,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
1,22,1,-76,728.0,38.90459861956008,0.7866073628929042,3,6,20,2,-76,533.0,31.45033944637541,0.7112862125269174,3,6,1.5421930258781602,1.0542811018703464,15,48,23.204546939990042,1.5744024776403511,True,15,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
2,22,1,-76,728.0,38.90459861956008,0.7866073628929042,3,6,24,2,-76,695.0,34.7980826385726,0.6782116591344838,3,3,0.9720044997572147,0.06758801913579982,10,30,43.449341123836476,12.236298712084094,False,15,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
3,22,1,-76,728.0,38.90459861956008,0.7866073628929042,3,6,29,2,-76,454.0,26.198152174317528,0.536779927903488,4,2,0.4098384321902131,0.39331145118653965,55,4,49.81187214352519,20.354415025887562,False,15,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
4,22,1,-76,728.0,38.90459861956008,0.7866073628929042,3,6,43,2,-61,471.0,27.318789384772174,0.5780711217639355,3,1,0.5748130298858293,0.38395380489687536,6,26,58.464499647104155,27.734533193292556,False,15,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
5,22,1,-76,728.0,38.90459861956008,0.7866073628929042,3,6,44,2,-61,573.0,30.54145927177318,0.6174530895925187,3,2,0.3920872094213015,0.4071554701111104,4,34,64.08502907369761,30.901801297613037,False,15,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
6,9,1,-76,729.0,38.20217847018648,0.7656776955397697,2,3,20,2,-76,533.0,31.45033944637541,0.7112862125269174,3,6,1.4880974519517274,0.01760006063988717,44,29,74.00353389934978,45.82386542455698,False,15,76,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
7,19,1,-76,436.0,28.692355541406346,0.7289972306255456,5,2,20,2,-76,533.0,31.45033944637541,0.7112862125269174,3,6,0.46225241322023364,0.5776990455210074,5,35,84.57876133602412,56.07269364442179,False,15,76,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
8,22,1,-76,728.0,38.90459861956008,0.7866073628929042,3,6,20,2,-76,533.0,31.45033944637541,0.7112862125269174,3,6,1.5421930258781602,1.0542811018703464,15,48,23.204546939990042,1.5744024776403511,True,15,76,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
