,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,16,1,-237,1182.0,42.45219700822352,0.5431284444772154,1,3,8,2,-237,1134.0,44.58338234808431,0.6812619582376868,2,2,1.0519761285510638,0.31106974161502743,10,33,74.45164149869403,32.236481515323064,False,6,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,0.1296,2.0
1,16,1,-237,1182.0,42.45219700822352,0.5431284444772154,1,3,11,2,-237,926.0,41.26519159271447,0.7178415264970922,2,2,1.4907582364625038,0.7811345206649896,14,38,40.475707262280224,4.981982604258014,False,6,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,0.1296,2.0
2,16,1,-237,1182.0,42.45219700822352,0.5431284444772154,1,3,15,2,-237,1577.0,56.539848158871955,0.7725760151948439,2,1,0.2559725621232505,0.5281500183055178,27,6,66.35780940782305,19.81506929804031,False,6,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,0.1296,2.0
0,15,1,-233,1477.0,54.7964652835308,0.7753489628229343,1,3,9,2,-233,1114.0,42.613876462940155,0.6182460081504725,2,1,0.6780351810072927,0.5209793505257059,23,54,74.86749022201957,35.30495668295168,False,2,233,9,YAV2104xYAV2105_005_19_rigid_003002.tif,0.1296,2.0
0,10,1,-235,1264.0,45.879092087964096,0.6360245522988449,1,1,17,2,-235,1716.0,64.81877071922864,0.847086002749615,2,3,1.0144745317279735,0.7239482849046408,49,22,52.924094322506015,9.307911356791704,False,4,235,17,YAV2104xYAV2105_005_19_rigid_004008.tif,0.1296,2.0
1,19,1,-235,1495.0,55.312294278154354,0.7787944048859284,1,2,17,2,-235,1716.0,64.81877071922864,0.847086002749615,2,3,1.0241141902308737,0.9343683555895552,11,49,33.25339977856576,0.7114620667397322,False,4,235,17,YAV2104xYAV2105_005_19_rigid_004008.tif,0.1296,2.0
2,24,1,-235,1596.0,55.7648890415993,0.7547129188560969,1,2,17,2,-235,1716.0,64.81877071922864,0.847086002749615,2,3,0.6220594146684661,0.19327587006120694,7,57,57.957831590732575,7.138274873120325,False,4,235,17,YAV2104xYAV2105_005_19_rigid_004008.tif,0.1296,2.0
