,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,5,1,-136,651.0,33.67445520818429,0.6792564636831806,2,1,4,2,-136,838.0,44.248114721623374,0.8376809774552803,2,3,0.6956071322201747,0.5084609035980625,23,6,59.163086306495984,30.051672105293537,False,5,136,5,20220802_YAV2104xYAV2105_001_09_R3D_REF_rigid_003001.tif,0.1944,3.0
0,7,1,-178,1166.0,42.03705167675771,0.5235932902376422,4,2,15,2,-143,1110.0,41.49591579636618,0.5653360950859172,2,3,0.4384525137185533,1.0511648948444448,34,49,39.105978641689205,2.247825028703923,True,47,178,7,YAV2104xYAV2105_005_01_rigid_003002.tif,0.1296,2.0
1,7,1,-178,1166.0,42.03705167675771,0.5235932902376422,4,2,16,2,-143,1156.0,44.31446429494896,0.648357340031645,4,2,0.973622435931377,1.4294739356772563,39,46,61.48971300747859,22.06499869444361,False,47,178,7,YAV2104xYAV2105_005_01_rigid_003002.tif,0.1296,2.0
2,7,1,-178,1166.0,42.03705167675771,0.5235932902376422,4,2,15,2,-143,1110.0,41.49591579636618,0.5653360950859172,2,3,0.4384525137185533,1.0511648948444448,34,49,39.105978641689205,2.247825028703923,True,47,178,15,YAV2104xYAV2105_005_01_rigid_003002.tif,0.1296,2.0
3,9,1,-178,1431.0,55.28992786186529,0.7986257542264248,2,3,15,2,-143,1110.0,41.49591579636618,0.5653360950859172,2,3,0.35497324034699057,1.3154255999350255,4,42,54.28412438583744,11.002735460956886,False,47,178,15,YAV2104xYAV2105_005_01_rigid_003002.tif,0.1296,2.0
4,17,1,-135,1036.0,36.97744357753207,0.248802484325116,3,2,15,2,-143,1110.0,41.49591579636618,0.5653360950859172,2,3,0.5763761096794733,0.13369889934757406,35,58,93.70890335148168,54.006921942557184,False,47,178,15,YAV2104xYAV2105_005_01_rigid_003002.tif,0.1296,2.0
0,23,1,-154,1079.0,43.913656672810525,0.6970336345205426,6,1,18,2,-170,1530.0,51.62784815068834,0.677704015924134,1,2,0.7584994678676873,0.6322240549286584,38,23,44.909603839614796,4.193191954183277,True,39,170,23,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
1,10,1,-170,2050.0,64.38714599294032,0.7704554235976183,1,2,18,2,-170,1530.0,51.62784815068834,0.677704015924134,1,2,0.603104604007445,0.21252265840248796,53,32,107.89134981349231,57.06349083952281,False,39,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
2,23,1,-154,1079.0,43.913656672810525,0.6970336345205426,6,1,18,2,-170,1530.0,51.62784815068834,0.677704015924134,1,2,0.7584994678676873,0.6322240549286584,38,23,44.909603839614796,4.193191954183277,True,39,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
0,18,1,-145,993.0,39.15019663407802,0.554692799494887,2,1,10,2,-145,1778.0,55.65241990833654,0.6805919818392644,2,2,0.3776051135740017,0.321290264545222,26,26,111.68370055137467,65.52593420119614,False,14,145,10,YAV2104xYAV2105_005_01_rigid_004002.tif,0.1296,2.0
