,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,18,1,-118,699.0,35.93868912186717,0.719556037843984,4,2,58,2,-102,398.0,26.89053057998095,0.7095697127116759,2,6,0.7196951158626552,0.2540898138722487,52,27,43.9309974281913,14.60599112165863,False,67,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,23,1,-118,682.0,37.89776694608643,0.7926163192396447,3,3,58,2,-102,398.0,26.89053057998095,0.7095697127116759,2,6,0.35528596766267306,1.4461943890841038,4,44,27.30246424639775,0.037864741294831146,False,67,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,51,1,-107,514.0,27.982144856139,0.5387567172075303,6,1,58,2,-102,398.0,26.89053057998095,0.7095697127116759,2,6,0.07980696130420606,0.0,29,0,43.70232322596414,16.06594304554775,False,67,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,52,1,-107,514.0,26.93324331871183,0.4196797833906411,7,0,58,2,-102,398.0,26.89053057998095,0.7095697127116759,2,6,0.2615476226323241,0.22387747406528735,32,57,46.86975400674629,20.02398453523022,False,67,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,53,1,-106,554.0,29.35536281338183,0.5669818571861608,2,2,58,2,-102,398.0,26.89053057998095,0.7095697127116759,2,6,0.4961923657688745,0.45378733771812224,25,5,88.86143676081544,61.87487208615034,False,67,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,59,1,-102,536.0,29.040533956736677,0.5805886319504991,5,0,58,2,-102,398.0,26.89053057998095,0.7095697127116759,2,6,0.5824863914523482,0.8583621148185872,36,51,29.29508203900118,4.949785086332032,True,67,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,1,-97,469.0,28.917164133672344,0.6948387090392742,3,3,22,2,-105,708.0,40.27508004155668,0.8260679762921339,3,4,0.7495546989580393,0.8726321511487916,38,50,67.19911109947668,42.42882472777236,False,54,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,1,-97,469.0,28.917164133672344,0.6948387090392742,3,3,29,2,-105,919.0,47.2115140852987,0.8498814605441746,2,6,0.0,0.021526139385067644,0,30,37.75255869171088,1.2539002275364826,False,54,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,1,-97,469.0,28.917164133672344,0.6948387090392742,3,3,57,2,-89,406.0,25.749786271503442,0.6173788603398752,2,3,1.287732752365663,0.48051953134219305,13,25,22.931557518255996,2.1602822143908607,True,54,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
3,19,1,-105,674.0,34.64699510626887,0.6944918180737158,3,6,57,2,-89,406.0,25.749786271503442,0.6173788603398752,2,3,1.0044023890643388,0.6488382116912833,49,7,27.077570489833725,3.5367714962206804,False,54,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
