,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,5,1,-194,1545.0,50.01335292949891,0.6134251482420826,0,3,6,2,-194,1020.0,44.51706187384597,0.7463196561550935,2,1,1.2963045896875935,0.30074080853966745,17,56,69.02307260587254,26.000279601694107,False,23,194,6,YAV2104xYAV2105_005_05_rigid_003008.tif,0.1296,2.0
0,16,1,-237,1241.0,45.136605705552626,0.6251750545550134,1,2,11,2,-237,1009.0,41.91990896145332,0.6755581940727353,2,2,1.5524023321057467,0.761498192317303,15,38,38.8691350714889,4.951912317303427,False,66,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,0.1296,2.0
1,16,1,-237,1241.0,45.136605705552626,0.6251750545550134,1,2,15,2,-237,1705.0,59.89998202238907,0.7895953172941438,2,3,0.289284928668863,0.45737395955341215,27,5,67.65348926634557,18.073994144305864,False,66,237,16,YAV2104xYAV2105_005_05_rigid_004004.tif,0.1296,2.0
0,15,1,-204,1125.0,42.020891301688664,0.5815035181311775,1,2,6,2,-215,1320.0,45.7094021825992,0.5856791081224199,1,1,1.3629038762900652,0.47366809884300487,13,34,49.8291007509385,9.640377488311067,False,44,215,15,YAV2104xYAV2105_005_06_rigid_003005.tif,0.1296,2.0
1,15,1,-204,1125.0,42.020891301688664,0.5815035181311775,1,2,7,2,-215,1346.0,49.77411738602567,0.7126482471064269,1,2,0.8718435494662633,0.7765914343278695,21,51,42.675898224856184,0.46963705961935887,True,44,215,15,YAV2104xYAV2105_005_06_rigid_003005.tif,0.1296,2.0
2,14,1,-204,1247.0,46.41604558378268,0.6720240743210084,1,1,7,2,-215,1346.0,49.77411738602567,0.7126482471064269,1,2,1.1127681385285968,1.3837561169273407,11,42,35.046032549868,0.7368489850481791,False,44,215,7,YAV2104xYAV2105_005_06_rigid_003005.tif,0.1296,2.0
3,15,1,-204,1125.0,42.020891301688664,0.5815035181311775,1,2,7,2,-215,1346.0,49.77411738602567,0.7126482471064269,1,2,0.8718435494662633,0.7765914343278695,21,51,42.675898224856184,0.46963705961935887,True,44,215,7,YAV2104xYAV2105_005_06_rigid_003005.tif,0.1296,2.0
0,14,1,-177,1272.0,46.02273984815999,0.6429415245535317,2,2,10,2,-199,1081.0,44.31981581776741,0.7044433857851102,1,5,0.9836408262858087,1.5124568021818812,10,44,32.18538361839148,0.040747678531914744,True,40,211,14,YAV2104xYAV2105_005_06_rigid_003009.tif,0.1296,2.0
1,14,1,-177,1272.0,46.02273984815999,0.6429415245535317,2,2,11,2,-199,1033.0,40.92543462077032,0.6052602702895251,2,4,0.27737896343094137,0.1302993887854509,3,30,64.29235477195006,23.056189792076086,False,40,211,14,YAV2104xYAV2105_005_06_rigid_003009.tif,0.1296,2.0
2,2,1,-211,1497.0,54.17536653821432,0.7572744657356932,2,1,10,2,-199,1081.0,44.31981581776741,0.7044433857851102,1,5,0.10886461926604785,0.06453883497559199,31,29,48.440751895342125,2.0012988480629583,False,40,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,0.1296,2.0
3,3,1,-211,1216.0,45.7119048203388,0.6687330774193629,2,2,10,2,-199,1081.0,44.31981581776741,0.7044433857851102,1,5,0.5669289356994152,1.3835623350919908,24,13,35.739338777826525,1.1262336225370364,False,40,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,0.1296,2.0
4,7,1,-211,1253.0,48.33686768818424,0.7293214673307258,1,3,10,2,-199,1081.0,44.31981581776741,0.7044433857851102,1,5,0.11140118572376334,0.9324056144795088,31,9,59.12164991187364,16.394433812099127,False,40,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,0.1296,2.0
5,14,1,-177,1272.0,46.02273984815999,0.6429415245535317,2,2,10,2,-199,1081.0,44.31981581776741,0.7044433857851102,1,5,0.9836408262858087,1.5124568021818812,10,44,32.18538361839148,0.040747678531914744,True,40,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,0.1296,2.0
6,15,1,-177,1187.0,43.854929514163935,0.6007815953742932,1,2,10,2,-199,1081.0,44.31981581776741,0.7044433857851102,1,5,0.17646759903723552,0.48842708602982565,2,54,52.214833230712905,10.65324463592142,False,40,211,10,YAV2104xYAV2105_005_06_rigid_003009.tif,0.1296,2.0
0,8,1,-201,1395.0,48.00577710446211,0.6341904261290446,1,1,2,2,-215,1711.0,58.7149032531251,0.7730716647352508,0,1,1.173571872835409,0.2097683966922972,18,57,57.19517535802396,10.27295965707222,False,44,215,8,YAV2104xYAV2105_005_09_rigid_003001.tif,0.1296,2.0
0,14,1,-178,829.0,33.63734751586702,0.3460713095691096,1,2,6,2,-208,1157.0,43.59897597274164,0.6271312135797567,2,2,0.29036480552709476,1.2620074542302842,3,42,34.51379269461363,1.006454486488499,True,37,208,14,YAV2104xYAV2105_005_09_rigid_003005.tif,0.1296,2.0
1,14,1,-178,829.0,33.63734751586702,0.3460713095691096,1,2,9,2,-208,1500.0,55.64068270557944,0.7849400159875468,3,2,0.7722919125413092,0.2222924463716316,52,32,51.67062349447959,7.339930209026787,False,37,208,14,YAV2104xYAV2105_005_09_rigid_003005.tif,0.1296,2.0
2,14,1,-178,829.0,33.63734751586702,0.3460713095691096,1,2,6,2,-208,1157.0,43.59897597274164,0.6271312135797567,2,2,0.29036480552709476,1.2620074542302842,3,42,34.51379269461363,1.006454486488499,True,37,208,6,YAV2104xYAV2105_005_09_rigid_003005.tif,0.1296,2.0
3,15,1,-178,1132.0,41.34856137319001,0.5272333513031675,1,2,6,2,-208,1157.0,43.59897597274164,0.6271312135797567,2,2,1.544407300048754,1.1398481631159,14,48,58.7014687870976,21.60366721431762,False,37,208,6,YAV2104xYAV2105_005_09_rigid_003005.tif,0.1296,2.0
0,6,1,-195,1097.0,39.99539107947592,0.481522743031804,1,1,9,2,-192,1173.0,45.26974558411921,0.6808452263995541,1,1,0.576910042463211,0.7807281315020598,24,38,35.5774205603148,0.7082967423850969,True,49,220,6,YAV2104xYAV2105_005_09_rigid_004009.tif,0.1296,2.0
1,6,1,-195,1097.0,39.99539107947592,0.481522743031804,1,1,9,2,-192,1173.0,45.26974558411921,0.6808452263995541,1,1,0.576910042463211,0.7807281315020598,24,38,35.5774205603148,0.7082967423850969,True,49,220,9,YAV2104xYAV2105_005_09_rigid_004009.tif,0.1296,2.0
0,15,1,-208,1415.0,48.902421177198576,0.6502101579596943,4,1,25,2,-179,822.0,37.54400262977804,0.6571564600089139,3,2,1.2522790378352902,0.24034148238810626,42,57,110.49467291495678,73.1129579590053,False,37,208,15,YAV2104xYAV2105_005_11_rigid_004007.tif,0.1296,2.0
0,18,1,-195,1214.0,41.589265609348814,0.43706375490526667,1,3,10,2,-196,1458.0,48.27848591285119,0.600980283802761,4,1,0.2655366063933253,0.8357760104349752,27,38,49.30628381175338,7.45781445979796,False,25,196,18,YAV2104xYAV2105_005_12_rigid_003008.tif,0.1296,2.0
1,18,1,-195,1214.0,41.589265609348814,0.43706375490526667,1,3,21,2,-183,1279.0,43.61710692324684,0.5118260937485881,2,2,1.4479924869202763,0.21687935205588982,16,27,119.58441370855854,79.40194608487045,False,25,196,18,YAV2104xYAV2105_005_12_rigid_003008.tif,0.1296,2.0
