,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,7,1,-178,1139.0,40.053111924903135,0.40982201769748744,2,2,15,2,-143,1102.0,41.25130279026265,0.5598983383666754,2,2,0.3978347547679557,0.8174108036794738,34,51,38.102532203193434,1.2475505795842474,True,37,178,7,YAV2104xYAV2105_005_01_rigid_003002.tif,0.1296,2.0
1,7,1,-178,1139.0,40.053111924903135,0.40982201769748744,2,2,16,2,-143,1067.0,43.09164211740683,0.6699097391752112,4,2,1.0476188463563698,1.151654636868149,40,48,59.58360433132141,22.013941355552248,False,37,178,7,YAV2104xYAV2105_005_01_rigid_003002.tif,0.1296,2.0
2,7,1,-178,1139.0,40.053111924903135,0.40982201769748744,2,2,15,2,-143,1102.0,41.25130279026265,0.5598983383666754,2,2,0.3978347547679557,0.8174108036794738,34,51,38.102532203193434,1.2475505795842474,True,37,178,15,YAV2104xYAV2105_005_01_rigid_003002.tif,0.1296,2.0
3,9,1,-178,1295.0,50.85761758322498,0.7640266745609591,2,3,15,2,-143,1102.0,41.25130279026265,0.5598983383666754,2,2,0.36379686168285263,1.2999102830000462,4,42,55.29002151234974,13.033990500576577,False,37,178,15,YAV2104xYAV2105_005_01_rigid_003002.tif,0.1296,2.0
0,23,1,-154,1078.0,45.90887737137604,0.7450933983605811,5,1,18,2,-170,1465.0,50.4163670260614,0.6725257689739137,1,3,0.8431768726147242,0.6489016465906325,39,23,45.140458005884746,5.173914298556187,True,29,170,23,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
1,9,1,-170,1226.0,49.05522007440373,0.7504198227092891,2,1,18,2,-170,1465.0,50.4163670260614,0.6725257689739137,1,3,0.3566867573408552,0.16912222450335745,33,28,95.23124237701126,49.24658950159368,False,29,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
2,10,1,-170,1987.0,62.787999124145095,0.7609316121371958,1,2,18,2,-170,1465.0,50.4163670260614,0.6725257689739137,1,3,0.7297582073785662,0.2045343571406395,52,32,109.26430830880092,58.83722846198122,False,29,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
3,23,1,-154,1078.0,45.90887737137604,0.7450933983605811,5,1,18,2,-170,1465.0,50.4163670260614,0.6725257689739137,1,3,0.8431768726147242,0.6489016465906325,39,23,45.140458005884746,5.173914298556187,True,29,170,18,YAV2104xYAV2105_005_01_rigid_003003.tif,0.1296,2.0
0,18,1,-145,962.0,39.06064653642845,0.5849390815702499,2,1,10,2,-145,1736.0,55.720599383068155,0.6990987906746318,2,2,0.3302321462168907,0.3292492311159325,56,26,112.07195728961665,65.8691023815054,False,4,145,10,YAV2104xYAV2105_005_01_rigid_004002.tif,0.1296,2.0
1,19,1,-145,1671.0,55.4945686503696,0.7212322731693721,2,1,10,2,-145,1736.0,55.720599383068155,0.6990987906746318,2,2,1.504948507801808,0.31464903859152926,15,33,107.27647907689746,60.884869679249896,False,4,145,10,YAV2104xYAV2105_005_01_rigid_004002.tif,0.1296,2.0
