,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,18,1,-118,684.0,35.344959587876446,0.7115585226472095,3,2,58,2,-102,416.0,27.34597833892571,0.7002510772851804,2,6,0.7120821960256398,0.09523057293644932,52,30,43.43866666323842,14.083765587634154,False,47,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,23,1,-118,685.0,38.08343830136324,0.7958064725765321,3,3,58,2,-102,416.0,27.34597833892571,0.7002510772851804,2,6,0.16876903644478694,1.2084984884533627,2,47,28.18551548740847,1.0649229922351848,False,47,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,51,1,-107,523.0,27.74556057415361,0.48977509297828237,7,1,58,2,-102,416.0,27.34597833892571,0.7002510772851804,2,6,0.03782663586979984,0.19819867304031055,30,2,43.651479562168944,16.48038264363263,False,47,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,52,1,-107,496.0,26.630219374061106,0.43843503295711134,7,0,58,2,-102,416.0,27.34597833892571,0.7002510772851804,2,6,0.2564218500762703,0.0,32,0,47.607901348620445,20.64917194782739,False,47,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,53,1,-106,535.0,28.250685395390025,0.5121929470566264,1,1,58,2,-102,416.0,27.34597833892571,0.7002510772851804,2,6,0.4186783342479341,0.48067265252970176,26,5,87.6894864506215,60.970518076998836,False,47,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,59,1,-102,532.0,29.348681267485592,0.6128642726710741,4,0,58,2,-102,416.0,27.34597833892571,0.7002510772851804,2,6,0.27821099544657724,0.32697591523675573,33,56,30.191882583037813,4.251231486820742,True,47,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,1,-97,462.0,28.50358136934572,0.6844732259659745,4,3,22,2,-105,693.0,39.987403238441914,0.828357109502055,2,4,0.7605959016336494,1.0144910234246023,38,49,68.26605780026458,44.151136691114644,False,34,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,1,-97,462.0,28.50358136934572,0.6844732259659745,4,3,29,2,-105,924.0,46.99171767476217,0.8440061538464452,2,6,0.09612854103591743,0.07961640454190588,1,29,38.19730376318084,2.1266991410758487,False,34,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,1,-97,462.0,28.50358136934572,0.6844732259659745,4,3,57,2,-89,382.0,25.568908180552974,0.6619335488993501,2,3,1.2730389460570302,0.6234718300761628,13,23,22.023375772548377,2.1205268670419826,True,34,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
3,19,1,-105,675.0,35.48042573910891,0.7250532631424305,4,6,57,2,-89,382.0,25.568908180552974,0.6619335488993501,2,3,1.00473595246822,0.5299261353285702,49,6,26.32902232606176,3.5361598448040192,False,34,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
4,24,1,-105,677.0,36.619557459985444,0.7600139319472601,4,4,57,2,-89,382.0,25.568908180552974,0.6619335488993501,2,3,1.2083636501885,0.44593990123218585,18,35,22.531075447756468,0.7071099496634039,False,34,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
5,46,1,-97,462.0,28.50358136934572,0.6844732259659745,4,3,57,2,-89,382.0,25.568908180552974,0.6619335488993501,2,3,1.2730389460570302,0.6234718300761628,13,23,22.023375772548377,2.1205268670419826,True,34,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,1,-125,656.0,33.485329681355346,0.6635835129690418,3,5,16,2,-125,555.0,32.17591192352434,0.7242164230643453,3,3,0.09236574654366654,0.732697528777428,1,52,38.51936431347669,8.316674968365076,True,54,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,1,-125,656.0,33.485329681355346,0.6635835129690418,3,5,20,2,-125,507.0,29.41400745084682,0.66147820752433,5,3,0.1396210335110446,1.0444812669990124,58,40,37.33767316829682,10.853039917582537,False,54,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,1,-125,656.0,33.485329681355346,0.6635835129690418,3,5,23,2,-125,510.0,32.67216814237454,0.7864227992968583,5,4,0.9737178973377381,0.08061565751013022,50,31,53.0457519928097,24.00319368344536,False,54,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,24,1,-125,656.0,33.485329681355346,0.6635835129690418,3,5,43,2,-110,432.0,24.60797571968266,0.4036696799534938,2,4,1.4470086137495306,1.210858578920381,46,41,63.211372691724954,37.58349828352282,False,54,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,1,-125,656.0,33.485329681355346,0.6635835129690418,3,5,44,2,-110,620.0,32.40377284250098,0.6569189559138293,5,3,1.3271340142839563,0.01737149071437427,43,30,51.41132468102383,22.62856119268962,False,54,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
