,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,24,1,-125,632.0,31.832843691435556,0.6044270689867431,3,3,16,2,-125,477.0,29.605667952008623,0.713532081427025,4,3,0.2873179295817236,0.7139435016823343,3,52,39.8412811764319,12.470882980567604,True,4,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,1,-125,632.0,31.832843691435556,0.6044270689867431,3,3,20,2,-125,511.0,29.816320099175563,0.6771052718020438,4,3,0.14726503260431034,1.3521146670230344,58,43,36.70900785756209,10.501444122705642,False,4,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,1,-125,632.0,31.832843691435556,0.6044270689867431,3,3,23,2,-125,553.0,34.05708800712962,0.7890633341762558,3,3,0.7519207817863034,0.08436941319803415,52,31,53.582754042774305,23.002648191625322,False,4,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,18,1,-125,647.0,36.944959660893375,0.794795594186496,4,2,16,2,-125,477.0,29.605667952008623,0.713532081427025,4,3,1.1853707652460894,0.6846184555858246,12,37,24.600713917469413,2.1217380307043014,False,4,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,1,-125,632.0,31.832843691435556,0.6044270689867431,3,3,16,2,-125,477.0,29.605667952008623,0.713532081427025,4,3,0.2873179295817236,0.7139435016823343,3,52,39.8412811764319,12.470882980567604,True,4,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
5,39,1,-124,323.0,21.52336618814013,0.45668662996884757,3,4,16,2,-125,477.0,29.605667952008623,0.713532081427025,4,3,0.6051542229032565,0.09072058273112482,54,30,26.75493755466461,1.4169986054424475,False,4,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
0,5,1,-136,642.0,33.000391532279636,0.6497770690804078,2,2,4,2,-136,900.0,45.36930444822373,0.8299051586110061,2,3,0.6952877287182466,0.5183760977044701,23,6,59.1029701432993,28.055999528734596,False,15,136,5,20220802_YAV2104xYAV2105_001_09_R3D_REF_rigid_003001.tif,0.1944,3.0
1,5,1,-136,642.0,33.000391532279636,0.6497770690804078,2,2,6,2,-136,596.0,37.672371061411276,0.8405699745795504,2,5,0.6952877287182466,0.44430345370146096,23,5,74.0415058600356,44.038576611051596,False,15,136,5,20220802_YAV2104xYAV2105_001_09_R3D_REF_rigid_003001.tif,0.1944,3.0
0,21,1,-130,678.0,34.89017284770219,0.7017623868969706,3,3,18,2,-130,482.0,27.372966454076167,0.5685874007778244,4,1,0.27335847465231344,0.07202047675188172,27,59,71.20684244475538,40.576762743863526,False,9,130,21,20220802_YAV2104xYAV2105_001_09_R3D_REF_rigid_004005.tif,0.1944,3.0
1,21,1,-130,678.0,34.89017284770219,0.7017623868969706,3,3,22,2,-130,515.0,28.07020394394203,0.5428766176404767,1,4,0.25657425013042445,0.7755849762881217,57,22,30.00325907543513,1.0351631900825502,False,9,130,21,20220802_YAV2104xYAV2105_001_09_R3D_REF_rigid_004005.tif,0.1944,3.0
2,21,1,-130,678.0,34.89017284770219,0.7017623868969706,3,3,24,2,-130,535.0,29.086867633196434,0.5886598271810487,2,2,1.0852059719237843,0.6945549570219137,49,7,28.548505579709108,2.0084892802696874,True,9,130,21,20220802_YAV2104xYAV2105_001_09_R3D_REF_rigid_004005.tif,0.1944,3.0
