,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,18,1,-118,670.0,35.14929429915944,0.7183237613137359,4,2,58,2,-102,401.0,27.026163110660445,0.7119456646822737,2,6,0.5275719423156389,0.20612201135243602,54,27,42.728175565480164,13.945933811194726,False,27,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,23,1,-118,668.0,37.39955717623482,0.7899938550044933,4,3,58,2,-102,401.0,27.026163110660445,0.7119456646822737,2,6,0.43810180741535965,1.3752404698736864,5,43,28.0042419335801,2.0022063145902087,False,27,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,51,1,-107,524.0,27.788460689918438,0.48964593612003876,7,1,58,2,-102,401.0,27.026163110660445,0.7119456646822737,2,6,0.19694549628803193,0.08925382737016217,28,1,43.81036985783539,16.573032721018244,False,27,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,52,1,-107,505.0,26.90026553372527,0.44825355104684905,7,0,58,2,-102,401.0,27.026163110660445,0.7119456646822737,2,6,0.07156666498499087,0.07330321126103989,30,59,48.360100853749394,21.20533023345898,False,27,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,53,1,-106,468.0,26.859532263279302,0.5568893538914617,1,1,58,2,-102,401.0,27.026163110660445,0.7119456646822737,2,6,0.5518835124755372,0.359854375132379,25,4,86.35279142062396,61.015760983875545,False,27,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,59,1,-102,550.0,29.408628856242775,0.5808308982543497,5,0,58,2,-102,401.0,27.026163110660445,0.7119456646822737,2,6,0.28661154698809543,0.43086355380066266,33,55,30.75321997196311,4.950643292453804,True,27,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,1,-97,454.0,26.14475563477792,0.5268698693725731,4,3,22,2,-105,685.0,40.199346072294205,0.8336388821932887,3,4,1.349563563458474,0.9095330878198791,13,50,70.19427325221785,46.57605114931834,False,14,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,1,-97,454.0,26.14475563477792,0.5268698693725731,4,3,29,2,-105,906.0,46.33701888776376,0.8406080043846774,1,5,0.4588913200567646,0.009839098668304125,35,30,35.736347070430924,1.4914167798075795,False,14,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,1,-97,454.0,26.14475563477792,0.5268698693725731,4,3,36,2,-105,530.0,30.867015969234483,0.6930416297001819,1,3,1.1425662480033107,0.2918697410554998,41,32,100.35747462036832,73.83862245726885,False,14,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,1,-125,616.0,31.756540049363558,0.6250933493521337,3,5,16,2,-125,516.0,30.775319112551557,0.7151324729795958,5,3,0.3848258189318897,0.9231616362890742,4,50,40.489941003820974,12.604675084187459,True,34,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,1,-125,616.0,31.756540049363558,0.6250933493521337,3,5,20,2,-125,537.0,30.362083963392738,0.6667040233530708,5,3,0.25431165284679746,1.5117090473566428,57,44,37.74138715139583,11.98914513702178,False,34,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,1,-125,616.0,31.756540049363558,0.6250933493521337,3,5,23,2,-125,548.0,34.32319026867634,0.8016174970501772,4,3,0.864210109906745,0.07663420005353272,51,31,54.56704984010184,24.000676842586874,False,34,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,24,1,-125,616.0,31.756540049363558,0.6250933493521337,3,5,43,2,-110,439.0,25.19857121912911,0.4633135017621007,2,3,1.1859202474812678,0.9997418570974421,48,39,63.54203722118945,38.12374734649327,False,34,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,1,-125,616.0,31.756540049363558,0.6250933493521337,3,5,44,2,-110,590.0,31.410186512184442,0.6448700677600065,5,3,1.4058695806510446,0.11985231630829674,46,29,50.6559642962491,22.62911899996503,False,34,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
5,18,1,-125,665.0,37.3206737014025,0.7930808630247042,4,3,16,2,-125,516.0,30.775319112551557,0.7151324729795958,5,3,0.9219347572437397,0.9619726482206348,10,40,25.61025202511017,2.1231486596274354,False,34,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
6,24,1,-125,616.0,31.756540049363558,0.6250933493521337,3,5,16,2,-125,516.0,30.775319112551557,0.7151324729795958,5,3,0.3848258189318897,0.9231616362890742,4,50,40.489941003820974,12.604675084187459,True,34,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
7,39,1,-124,378.0,26.05609450236501,0.7015775008957505,3,3,16,2,-125,516.0,30.775319112551557,0.7151324729795958,5,3,0.2927868783219729,0.15633218641611624,56,28,27.180115817990384,1.4142348043773083,False,34,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
0,24,1,-118,521.0,27.830314320200483,0.5102188906462345,2,5,17,2,-118,537.0,30.658098556788524,0.683705251929718,5,3,1.1759513283606062,0.8014174985556863,18,51,51.29847755435331,25.575144245267214,False,27,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
